"Adres";"Adres za NATem";"Adres NAT";"Opis1";"Opis2";"Opis3";"Opis4";"Opis5"
"172.16.36.224/27";"Nie";"";"loopbacks network elements";"";"";"";""
"172.16.36.32/27";"Nie";"";"Gi2_MVNE_Kazimierzowska";"";"";"";""
"172.16.37.0/27";"Nie";"";"Gi1_MVNE_Nowogrodzka11";"";"";"";""
"172.16.37.128/27";"Nie";"";"Gi_MVNE_interconnection";"";"";"";""
"172.16.37.192/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.37.224/27";"Nie";"";"loopbacks";"";"";"";""
"172.16.37.32/27";"Nie";"";"Gi2_MVNE_Nowogrodzka11";"";"";"";""
"172.16.4.0/24";"Nie";"";"OSN Kaliska";"";"";"";""
"172.16.5.0/24";"Nie";"";"OSN Kaliska";"";"";"";""
"172.16.6.0/24";"Nie";"";"OSN Kazimierzowska ";"";"";"";""
"172.16.7.0/24";"Nie";"";"OSN Kazimierzowska ";"";"";"";""
"172.16.8.0/24";"Nie";"";"OSN GRE phisical";"";"";"";""
"172.16.9.0/24";"Nie";"";"OSN GRE";"";"";"";""
"172.16.38.0/27";"Nie";"";"Gi1_MVNE_Kaliska";"";"";"";""
"172.16.38.32/27";"Nie";"";"Gi2_MVNE_Kaliska";"";"";"";""
"172.16.38.128/27";"Nie";"";"Gi_MVNE_interconnection";"";"";"";""
"172.16.38.192/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.38.224/27";"Nie";"";"loopbacks";"";"";"";""
"172.16.64.0/24";"Nie";"";"PS Core LAB Gn";"";"";"";""
"172.16.65.0/24";"Nie";"";"PS Core LAB Gi";"";"";"";""
"172.16.126.0/24";"Nie";"";"Gn transmission over IP/MPLS TP WAN";"";"";"";""
"172.16.127.0/24";"Nie";"";"Gn routers loopbacks";"";"";"";""
"172.16.192.0/24";"Nie";"";"CDMA Huawei";"";"";"";""
"172.16.194.0/24";"Nie";"";"CDMA ZTE";"";"";"";""
"172.16.232.0/25";"Nie";"";"CDDO M2 - wymiana danych teleadresowych";"";"";"";""
"172.16.234.0/24";"Nie";"";"SMSC6";"";"";"";""
"172.16.235.0/25";"Nie";"";"SMSC7";"";"";"";""
"172.16.239.0/27";"Nie";"";"FW-L3-RAD-ACCOUTING";"";"";"";""
"172.16.239.32/27";"Nie";"";" RAD-ACCOUTING   (kaliska)";"";"";"";""
"172.16.240.0/24";"Nie";"";"Radius Houston ";"";"";"";""
"172.16.245.0/25";"Nie";"";"AGW Infowide - FWE";"";"";"";""
"172.16.246.0/27";"Nie";"";"MSN Nokia Loopbacks";"";"";"";""
"172.16.247.0/24";"Nie";"";"MMSC2 Internal";"";"";"";""
"172.16.248.0/24";"Nie";"";"MMSC MNP";"";"";"";""
"172.16.249.0/26";"Nie";"";"MMSC MVNE Internal";"";"";"";""
"172.16.250.0/24";"Nie";"";"NWG2 Internal";"";"";"";""
"172.16.251.0/24";"Nie";"";"testy Nokii dla GGSN";"";"";"";""
"172.16.0.0/20";"Nie";"";"gprs";"";"";"";""
"126.198.128.2/32";"Tak";"10.11.145.21/32";"tisdbdmz_NAT";"";"";"";""
"172.18.12.0/24";"Nie";"";"NVT billing";"video streaming";"";"";""
"172.20.63.232/30";"Nie";"";"NT-HLR KAT";"Hand-over for SIGTRAN1";"";"";""
"172.18.204.0/30";"Nie";"";"";"";"";"";""
"172.20.191.232/30";"Nie";"";"NT-HLR POZ";"Hand-over for SIGTRAN2";"";"";""
"172.16.27.160/27";"Nie";"";"Gn_Interconnect2 (Warszawa)";"";"";"";""
"172.16.27.128/27";"Nie";"";"Gn_Interconnect1 (Warszawa)";"";"";"";""
"10.11.166.0/25";"Nie";"";"AEPONA Kasprzaka";"";"";"";""
"10.60.4.0/24";"Nie";"";"DMZ Interconnect ";"";"";"";""
"172.26.252.0/22";"Nie";"";"ngHLR Admin Network";"";"";"";""
"172.26.252.0/24";"Nie";"";"ngHLR Admin Testbed";"";"";"";""
"172.26.253.0/24";"Nie";"";"ngHLR Admin WARN47";"";"";"";""
"172.26.254.0/24";"Nie";"";"ngHLR Admin KATFRA";"";"";"";""
"172.26.255.0/24";"Nie";"";"ngHLR Admin POZGLO";"";"";"";""
"172.20.128.0/17";"Nie";"";"SIGTRAN_2";"";"";"";""
"172.21.0.0/16";"Nie";"";"R4 User Plane";"";"";"";""
"172.20.95.232/30";"Nie";"";"NT-HLR POZ";"Hand-over for SIGTRAN1";"";"";""
"172.20.142.0/28";"Nie";"";"ngHLR Testbed SIGTRAN_2";"";"";"";""
"172.20.14.0/28";"Nie";"";"ngHLR Testbed SIGTRAN_1";"";"";"";""
"172.21.14.0/27";"Nie";"";"ngHLR Testbed Application";"";"";"";""
"172.16.66.0/24";"Nie";"";"Gn Ga interconnect dla DCB";"";"";"";"pariego"
"10.3.0.0/16";"Nie";"";"Mozart";"";"";"";""
"10.11.166.128/25";"Nie";"";"AEPONA Kazimierzowska";"";"";"";""
"10.11.138.64/28";"Nie";"";"MultiSim TB";"";"";"";""
"172.20.0.0/17";"Nie";"";"SIGTRAN_1";"";"";"";""
"172.20.154.128/25";"Nie";"";"NGVM LAN";"";"";"";""
